"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_00099",3909.87286245477,3.82962535687602,0.0673137296403377,56.8921879286438,0,0
"IBPFAHIO_00122",64711.5232618083,3.09973338217782,0.0539716763516507,57.4325941255114,0,0
"IBPFAHIO_00127",28468.2801185969,-2.77332420261565,0.060269800750207,-46.0151546561421,0,0
"IBPFAHIO_00147",3453.49392550433,2.60939254109202,0.0667229445100851,39.1078745138056,0,0
"IBPFAHIO_00148",2675.58318607064,3.14024003034954,0.073121252021483,42.9456545605503,0,0
"IBPFAHIO_00189",25697.2041196501,-2.10563284880569,0.0505352142953369,-41.6666452921321,0,0
"IBPFAHIO_00192",2904.51487854044,2.99477280866842,0.0723403398631384,41.3983790279983,0,0
"IBPFAHIO_00195",5478.67555230486,-5.40883919042777,0.0842047654221398,-64.2343596981939,0,0
"IBPFAHIO_00196",8882.85743506652,-6.02479987192173,0.101628111128077,-59.2828087135158,0,0
"IBPFAHIO_00197",8201.29999322004,-5.49459712011013,0.0716205657750144,-76.7181473736274,0,0
"IBPFAHIO_00272",5014.33228953546,4.66554789360772,0.0736012457748949,63.3895234311254,0,0
"IBPFAHIO_00312",1240.66057033665,5.00735135301111,0.12000791451558,41.7251759871308,0,0
"IBPFAHIO_00313",938.639832245033,4.36578940448394,0.114025147714107,38.2879521930564,0,0
"IBPFAHIO_00314",3765.90330171384,7.36346575919391,0.135306398132225,54.4206767812867,0,0
"IBPFAHIO_00315",2396.71782600505,7.028511004192,0.149695611517723,46.9520177173656,0,0
"IBPFAHIO_00317",3540.36562393935,6.98527897187655,0.131924190067035,52.9491897454673,0,0
"IBPFAHIO_00319",2642.20322109934,3.48532767681867,0.091268758663323,38.1875214242316,0,0
"IBPFAHIO_00322",10356.5127004844,4.33688499468503,0.0798991270544522,54.2795041018332,0,0
"IBPFAHIO_00323",1575.10045603043,3.58145026992313,0.0872479339764375,41.0491126459264,0,0
"IBPFAHIO_00328",7497.1105294909,3.1736235641683,0.0760297727968888,41.7418525325143,0,0
"IBPFAHIO_00330",6308.98355180231,3.15180642813129,0.0706541246879334,44.6089515941533,0,0
"IBPFAHIO_00337",2794.27597778428,-3.0208096190061,0.0719404894228245,-41.9903957179319,0,0
"IBPFAHIO_00349",9499.72348167996,-4.57702536892432,0.0707589446447757,-64.6847602363477,0,0
"IBPFAHIO_00350",2948.3062193366,-4.94581321717985,0.095685235787806,-51.688363167624,0,0
"IBPFAHIO_00377",1894.58476073324,-3.0744712172673,0.0774736392998823,-39.6840944229655,0,0
"IBPFAHIO_00378",2957.89265781886,-3.19607441113953,0.0703472836535826,-45.4328048667557,0,0
"IBPFAHIO_00387",3787.57351871152,-2.49358272466789,0.0654175188846609,-38.1179654499643,0,0
"IBPFAHIO_00397",11597.8635048162,5.6169092518933,0.0750937456688985,74.798629391311,0,0
"IBPFAHIO_00415",2339.10836572001,4.80594726573905,0.104400556707228,46.0337321688468,0,0
"IBPFAHIO_00432",4826.80100356182,3.06135988118823,0.0607312216807068,50.4083368729723,0,0
"IBPFAHIO_00454",12595.9836891606,3.66931089138518,0.0648535721053486,56.5783930208921,0,0
"IBPFAHIO_00460",14041.6279625779,-2.09060705167596,0.0520653278931367,-40.1535366485524,0,0
"IBPFAHIO_00491",2026.61536489545,3.51877436815364,0.0813569947393748,43.2510367353902,0,0
"IBPFAHIO_00499",16762.6535176743,2.86193618867255,0.054398172372465,52.610888635685,0,0
"IBPFAHIO_00504",4365.47592354963,-3.25974332163027,0.0686864524122023,-47.4583153904622,0,0
"IBPFAHIO_00505",6974.58443086729,-3.64478928415993,0.0745928029237527,-48.8624792379174,0,0
"IBPFAHIO_00518",3377.61056638008,-2.83319092942078,0.066649454471562,-42.5088389977692,0,0
"IBPFAHIO_00533",14220.2616136909,7.74564612526715,0.0992650900100231,78.0299108627721,0,0
"IBPFAHIO_00585",32694.7452295925,5.82401719084564,0.083995644298013,69.3371333658954,0,0
